INSTNM,,,,CITY,,STABBR,CONTROL,PREDDEG,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
COMMUNITY COLLEGE OF THE AIR FORCE,,,,MONTGOMERY,,AL,Public,Predominantly associate's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
ALABAMA A & M UNIVERSITY,,,,NORMAL,,AL,Public,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
UNIVERSITY OF ALABAMA AT BIRMINGHAM,,,,BIRMINGHAM,,AL,Public,Predominantly bachelor's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
ALABAMA AVIATION AND TECHNICAL COLLEGE,,,,OZARK,,AL,Public,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
SOUTHERN CHRISTIAN UNIVERSITY,,,,MONTGOMERY,,AL,Private nonprofit,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
UNIVERSITY OF ALABAMA IN HUNTSVILLE,,,,HUNTSVILLE,,AL,Public,Predominantly bachelor's-degree granting,,,,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
ALABAMA STATE UNIVERSITY,,,,MONTGOMERY,,AL,Public,Predominantly bachelor's-degree granting,,,,,"Far West (AK, CA, HI, NV, OR, WA)"
THE UNIVERSITY OF ALABAMA,,,,TUSCALOOSA,,AL,Public,Predominantly bachelor's-degree granting,,,,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
CENTRAL ALABAMA COMMUNITY COLLEGE,,,,ALEXANDER CITY,,AL,Public,Predominantly certificate-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
ATHENS STATE COLLEGE,,,,ATHENS,,AL,Public,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
AUBURN UNIVERSITY AT MONTGOMERY,,,,MONTGOMERY,,AL,Public,Predominantly bachelor's-degree granting,,,,,"Great Lakes (IL, IN, MI, OH, WI)"
AUBURN UNIVERSITY MAIN CAMPUS,,,,AUBURN UNIVERSITY,,AL,Public,Predominantly bachelor's-degree granting,,,,,"Mid East (DE, DC, MD, NJ, NY, PA)"
BESSEMER STATE TECHNICAL COLLEGE,,,,BESSEMER,,AL,Public,Predominantly certificate-degree granting,,,,,"Rocky Mountains (CO, ID, MT, UT, WY)"
